id_destinasi,nama_destinasi,kategori,alamat,kota,provinsi,latitude,longitude,harga_tiket_dewasa,harga_tiket_anak,jam_buka,jam_tutup,deskripsi,fasilitas,kapasitas_harian,rata_rata_kunjungan_harian,rating
D001,Candi Borobudur,Candi/Sejarah,"Jl. Badrawati, Borobudur",Magelang,Jawa Tengah,-7.6079,110.2038,50000,25000,06:00,17:00,Candi Buddha terbesar di dunia dan situs warisan dunia UNESCO,"Parkir, Toilet, Musholla, Restoran, Toko Souvenir",5000,3200,4.8
D002,Candi Prambanan,Candi/Sejarah,"Jl. Raya Solo-Yogyakarta No.16",Sleman,DI Yogyakarta,-7.7520,110.4915,50000,25000,06:00,17:00,Kompleks candi Hindu terbesar di Indonesia,"Parkir, Toilet, Musholla, Museum, Food Court",4000,2800,4.7
D003,Pantai Parangtritis,Pantai/Alam,"Jl. Parangtritis",Bantul,DI Yogyakarta,-8.0249,110.3294,10000,5000,00:00,23:59,Pantai dengan pemandangan sunset yang indah dan legenda Nyi Roro Kidul,"Parkir, Toilet, Warung Makan, Rental ATV",10000,4500,4.5
D004,Malioboro,Belanja/Budaya,"Jl. Malioboro",Yogyakarta,DI Yogyakarta,-7.7928,110.3650,0,0,00:00,23:59,Jalan legendaris pusat perbelanjaan dan budaya Yogyakarta,"Toko, Restoran, Hotel, ATM, Toilet Umum",15000,8500,4.6
D005,Keraton Yogyakarta,Istana/Sejarah,"Jl. Rotowijayan Blok No. 1",Yogyakarta,DI Yogyakarta,-7.8052,110.3644,15000,7500,08:00,16:00,Istana resmi Kesultanan Ngayogyakarta Hadiningrat,"Parkir, Toilet, Museum, Guide, Toko Souvenir",3000,1800,4.7
D006,Taman Sari,Taman/Sejarah,"Jl. Taman, Patehan",Yogyakarta,DI Yogyakarta,-7.8099,110.3602,15000,7500,09:00,15:00,Taman air bekas tempat pemandian keluarga Sultan,"Parkir, Toilet, Guide, Foto Studio",2000,1200,4.4
D007,Pantai Indrayanti,Pantai/Alam,"Jl. Pantai Indrayanti, Tepus",Gunungkidul,DI Yogyakarta,-8.1538,110.6136,15000,10000,07:00,18:00,Pantai dengan pasir putih dan air jernih,"Parkir, Toilet, Gazebo, Restoran, Penginapan",5000,2100,4.6
D008,Goa Pindul,Wisata Alam/Petualangan,"Gelaran, Bejiharjo, Karangmojo",Gunungkidul,DI Yogyakarta,-7.9326,110.6521,35000,25000,07:00,16:00,Wisata cave tubing di goa dengan sungai bawah tanah,"Parkir, Toilet, Musholla, Warung, Rental Pelampung",800,650,4.7
D009,Hutan Pinus Mangunan,Hutan/Alam,"Dlingo",Bantul,DI Yogyakarta,-7.9262,110.4348,10000,5000,06:00,18:00,Hutan pinus dengan spot foto instagramable,"Parkir, Toilet, Spot Foto, Warung",3000,1500,4.5
D010,Museum Ullen Sentalu,Museum/Budaya,"Jl. Boyong, Kaliurang",Sleman,DI Yogyakarta,-7.6286,110.4229,50000,25000,08:30,16:00,Museum kebudayaan Jawa dengan koleksi batik dan artefak kerajaan,"Parkir, Toilet, Cafe, Toko Souvenir",500,280,4.8
D011,Alun-alun Kidul,Taman/Budaya,"Jl. Alun-alun Kidul",Yogyakarta,DI Yogyakarta,-7.8134,110.3631,0,0,00:00,23:59,Alun-alun selatan dengan tradisi masangin dan lampu hias,"Parkir, Toilet, Warung, Rental Sepeda",8000,3500,4.3
D012,Tebing Breksi,Wisata Alam,"Sambirejo, Prambanan",Sleman,DI Yogyakarta,-7.7549,110.5089,5000,3000,06:00,18:00,Bekas tambang batu yang disulap menjadi destinasi wisata,"Parkir, Toilet, Spot Foto",2000,950,4.4
D013,Candi Ratu Boko,Candi/Sejarah,"Jl. Raya Piyungan-Prambanan",Sleman,DI Yogyakarta,-7.7704,110.4881,50000,25000,06:00,17:00,Kompleks keraton dengan pemandangan sunset terbaik,"Parkir, Toilet, Musholla, Cafe, Museum",2500,1100,4.7
D014,Kaliurang,Wisata Alam,"Hargobinangun, Pakem",Sleman,DI Yogyakarta,-7.5980,110.4223,5000,3000,00:00,23:59,Kawasan wisata pegunungan di lereng Merapi,"Hotel, Restoran, Parkir, Toilet, Jalur Hiking",4000,1800,4.5
D015,Pantai Timang,Pantai/Petualangan,"Tepus",Gunungkidul,DI Yogyakarta,-8.1443,110.6537,20000,15000,08:00,17:00,Pantai dengan gondola menuju pulau karang,"Parkir, Toilet, Warung, Gondola",1500,750,4.6
